Maquina,Rodada,Date,Time,Origem_Arquivo,Relógios núcleo (avg) [MHz],Relógios efetivos núcleo (avg) [MHz],Uso total da CPU [%],Carga do núcleo da GPU [%],CPU Inteira [°C],CPU Inteira [°C].1,Núcleo máximo [°C],Estrangulamento térmico do núcleo (avg) [Yes/Não],Distância do núcleo para TjMAX (avg) [°C],Potência total da CPU [W],IA: Package-Level RAPL/PBM PL1 [Yes/Não],IA: Package-Level RAPL/PBM PL2 PL3 [Yes/Não],Limite de desempenho - Térmico [Yes/Não],Relógio da memória [MHz],Taxa de leituras [MB/s],Taxa de gravações [MB/s],Potência das linhas GPU (avg) [W],GPU Clock [MHz].1,GPU Clock [MHz],Limite térmico da GPU [°C]
Máquina B,4,17.6.2026,13:23:21.415,maqB_rodada_04.csv,2354.2,313.4,9.9,0.0,55,60,55,Não,46,4.394,Não,Não,,1330.1,0.0,0.04,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:23.398,maqB_rodada_04.csv,2473.9,350.3,10.3,0.0,58,59,58,Não,46,8.405,Não,Não,,1330.1,0.0,0.002,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:25.416,maqB_rodada_04.csv,2454.0,354.2,11.3,0.0,60,60,60,Não,45,10.596,Não,Não,,1330.1,0.008,0.079,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:27.410,maqB_rodada_04.csv,2374.2,345.6,10.0,0.0,61,61,62,Não,45,9.493,Não,Não,,1330.1,0.016,0.09,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:29.416,maqB_rodada_04.csv,2254.5,361.6,10.6,0.0,69,69,69,Não,41,10.398,Não,Não,,1330.1,0.0,0.025,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:31.411,maqB_rodada_04.csv,2394.1,349.4,10.4,0.0,61,61,62,Não,44,10.156,Não,Não,,1330.1,0.11,0.049,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:33.412,maqB_rodada_04.csv,2523.8,390.2,11.2,0.0,65,65,66,Não,43,10.227,Não,Não,,1330.1,0.049,0.043,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:35.409,maqB_rodada_04.csv,987.6,295.6,8.9,0.0,55,55,53,Não,48,8.295,Não,Não,,1330.1,0.0,0.0,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:37.419,maqB_rodada_04.csv,1356.7,55.6,3.5,0.0,54,54,52,Não,49,8.295,Não,Não,,1330.1,0.0,0.058,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:39.403,maqB_rodada_04.csv,1167.1,42.4,3.4,0.0,53,53,51,Não,50,2.603,Não,Não,,1330.1,0.0,0.0,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:41.404,maqB_rodada_04.csv,2344.3,217.4,7.9,0.0,56,58,56,Não,47,2.289,Não,Não,,1330.1,0.0,0.007,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:43.419,maqB_rodada_04.csv,2234.5,363.9,10.2,0.0,71,71,71,Não,42,6.974,Não,Não,,1330.1,0.0,0.0,0.0,0.0,300.0,0.0
