Maquina,Rodada,Média - CPU Inteira [°C],Desvio Padrão - CPU Inteira [°C],Mediana - CPU Inteira [°C],Média - CPU Inteira [°C].1,Desvio Padrão - CPU Inteira [°C].1,Mediana - CPU Inteira [°C].1,Média - Núcleo máximo [°C],Desvio Padrão - Núcleo máximo [°C],Mediana - Núcleo máximo [°C],Média - Distância do núcleo para TjMAX (avg) [°C],Desvio Padrão - Distância do núcleo para TjMAX (avg) [°C],Mediana - Distância do núcleo para TjMAX (avg) [°C],Média - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa,Desvio Padrão - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa,Mediana - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa
Máquina A,11,54.63843648208469,11.893160890982491,49.0,55.63192182410423,12.390356671677575,50.0,53.78175895765472,12.08417885482102,48.0,52.37459283387622,7.724826673628057,54.0,0.0,0.0,0.0
Máquina A,12,55.775577557755774,12.729058802328513,50.0,56.45874587458746,13.043893590924654,50.0,54.97029702970297,12.98709658569038,48.0,51.66996699669967,8.169357359534557,54.0,0.0,0.0,0.0
Máquina A,13,55.36842105263158,12.25266581397176,49.0,55.758513931888544,12.94339852923515,49.0,55.07120743034056,12.884985993998395,49.0,51.526315789473685,7.9635283379547515,54.0,0.0,0.0,0.0
Máquina A,14,56.531772575250834,12.523862881647412,52.0,56.69230769230769,12.636063802271455,50.0,56.187290969899664,13.137567387637517,53.0,51.11371237458194,7.827445643346518,53.0,0.0,0.0,0.0
Máquina A,15,57.41925465838509,13.046096158924575,50.0,58.27329192546584,13.165842512621895,52.0,56.97204968944099,13.356686920988727,50.0,49.515527950310556,8.515044841996431,52.0,0.0,0.0,0.0
Máquina A,16,57.241610738255034,12.817891014387635,51.0,57.43288590604027,12.848660363048982,51.5,56.785234899328856,12.957357546625826,52.0,50.52348993288591,7.935840273300153,53.0,0.0,0.0,0.0
Máquina A,17,56.36333333333334,13.421317425162814,48.5,56.28333333333333,13.312919852743578,49.0,55.67333333333333,13.965076683575685,47.5,51.486666666666665,8.37358217752922,54.0,0.0,0.0,0.0
Máquina A,18,57.4655737704918,13.529680886241195,50.0,57.075409836065575,13.26814368160911,50.0,56.82622950819672,13.597575026154097,49.0,49.885245901639344,8.248800472316962,53.0,0.0,0.0,0.0
Máquina A,19,55.83552631578947,12.828621094803001,51.0,56.49671052631579,13.091200368852606,53.0,55.401315789473685,13.054978878209988,51.0,51.3453947368421,7.979911567338736,53.0,0.0,0.0,0.0
Máquina A,20,55.53198653198653,13.208047573450093,49.0,55.474747474747474,13.23846522475175,49.0,54.956228956228955,13.232641737491699,49.0,51.51851851851852,8.207229045701641,54.0,0.0,0.0,0.0
